dir_id,inventory_number,name,has_tif,has_tfw,has_georef
001294,T.E-05.07,Szczelina w Iwanówce,True,False,False
001295,T.E-05.08,Schron Zachodni w Iwanówce,True,False,False
001296,T.E-07.06,Jaskinia pod Głazem,True,False,False
001297,T.E-06.01,Jaskinia Skośna,True,False,False
001298,T.E-06.02,Jaskinia w Kosówkach,True,False,False
001300,T.E-06.03,Jaskinia Troista,True,False,False
001301,T.E-07.08,Schron przy Suchym Biwaku,True,False,False
001302,T.E-07.09,Jaskinia Rura Kominiarska,True,False,False
001303,T.E-07.10,Szczelina w Smytniej,True,False,False
001306,T.E-07.11,Schron nad Żlebem,True,False,False
001308,T.E-07.13,Jaskinia pod Kapliczką,True,False,False
001309,T.E-07.14,Jaskinia Ślimacza,True,False,False
001310,T.E-07.15,Jaskinia Smytnia,True,False,False
001311,T.E-07.16,Jaskinia nad Smytnią,True,False,False
001312,T.E-07.17,Szczelina przy Zawieszonej Skale I,True,False,False
001313,T.E-07.18,Szczelina przy Zawieszonej Skale II,True,False,False
001314,T.E-07.19,Nisza Zachodnia,True,False,False
001315,T.E-07.20,Nisza Wschodnia,True,False,False
001316,T.E-07.21,Jaskinia Nowa nad Raptawicką Granią,True,False,False
001317,T.E-07.22,Dziura pod Nową,True,False,False
001318,T.E-07.24,Koliba w Smytniej,True,False,False
001319,T.E-06.04,Schron przy Troistej I,True,False,False
001320,T.E-07.23,Tunel Wiatru,True,False,False
001321,T.E-06.05,Schron przy Troistej II,True,False,False
001322,T.E-07.25,Jaskinia nad Prożkiem w Żlebie Na Spady,True,False,False
001323,T.E-06.06,Sarni Schron,True,False,False
001325,T.E-07.27,Wiśniakowa Jama,True,False,False
001326,T.E-06.07,Lejowa Szczelina,True,False,False
001327,T.E-07.28,Schronisko nad Wiśniakową Jamą,True,False,False
001328,T.E-07.29,Nyża nad Prożkiem w Żlebie Na Spady,True,False,False
001329,T.E-06.08,Schron w Ścianie pod Szczytem,True,False,False
001331,T.E-06.09,Komórka nad Smytnią,True,False,False
001332,T.E-07.31,Jaskinia z Mułem,True,False,False
001333,T.E-06.10,Szczelina pod Skośną,True,False,False
001334,T.E-06.11,Szczelina w Grani I,True,False,False
001335,T.E-06.12,Szczelina ze Śniegiem,True,False,False
001336,T.E-07.32,Korytarzyk w Czarnych Turniach,True,False,False
001337,T.E-07.33,Nyża przy Perci,True,False,False
001338,T.E-07.34,Dziurka od Klucza,True,False,False
001339,T.E-07.35,Nisza nad Jelenią Percią,True,False,False
001340,T.E-07.36,Nyża nad Bramką,True,False,False
001341,T.E-07.37,Schronisko nad Bramką,True,False,False
001342,T.E-07.38,Schronisko przy Jeleniej Perci,True,False,False
001343,T.E-07.39,Schronisko nad Trawersem w Żeleźniaku I,True,False,False
001344,T.E-07.40,Schronisko nad Trawersem w Żeleźniaku II,True,False,False
001345,T.E-06.13,Szczelina w Grani II,True,False,False
001346,T.E-07.41,Szczelina przed Bańdziochem,True,False,False
001347,T.E-07.42,Kominek przy Bańdziochu,True,False,False
001348,T.E-07.43,Trzyotworowy Kominek przy Bańdziochu,True,False,False
001349,T.E-08.04,Jaskinia Mylna,True,False,False
001350,T.E-07.44,Szczelina przy Bańdziochu,True,False,False
001351,T.E-08.05,Jaskinia Obłazkowa,True,False,False
001352,T.E-07.45,Nyża pod Bańdziochem,True,False,False
001353,T.E-08.06,Dziura pod Smoczą Jamą,True,False,False
001354,T.E-07.46,Jaskinia w Kociołku pod Bańdziochem,True,False,False
001355,T.E-08.08,Dziura pod Raptawicą,True,False,False
001356,T.E-07.47,Szczelina przy Gładkim Żlebie,True,False,False
001357,T.E-07.48,Szczelina w Uwozisku,True,False,False
001358,T.E-08.09,Jaskinia Mysia,True,False,False
001359,T.E-07.49,Schronisko nad Bramą,True,False,False
001360,T.E-08.01,Jaskinia pod Zamkiem,True,False,False
