dir_id,inventory_number,name,n_submissions,lat,lon,pixels_per_meter,north_angle_deg,ppm_cv,entrance_std_px,flag,has_tif,has_tfw,has_georef
001208,T.D-13.07,Nyża przy Starym Szlaku,5,49.249733,19.926881,76.89,0.026,0.001,0.27,,True,False,False
001209,T.D-13.08,Nyża nad Siodłem,5,49.24925,19.927853,77.73,-0.014,0.002,0.73,,True,False,False
001210,T.D-12.03,Schron Partyzantów,5,49.248139,19.914897,77.29,0.0,0.002,0.57,,True,False,False
001211,T.D-12.04,Tunel pod Siwarową Dziurą,5,49.24805,19.915106,77.22,0.0,0.002,0.77,,True,False,False
001212,T.D-14.01,Jaskinia Juhaska,5,49.2548,19.942942,194.9,0.009,0.307,1.31,high_ppm_cv,True,False,False
001213,T.D-12.05,Jaskinia Błotna,5,49.247139,19.913683,118.3,0.0,0.002,0.52,,True,False,False
001214,T.D-14.02,Ruda Nyża,5,49.251314,19.939058,77.33,-0.0,0.002,0.54,,True,False,False
001215,T.D-14.03,Jaskinia Zawaliskowa w Długim Giewoncie,5,49.252144,19.941486,38.57,0.0,0.0,0.36,,True,False,False
001216,T.D-12.06,Nisza przy Zagonie,5,49.246494,19.911981,77.21,-0.017,0.002,0.6,,True,False,False
001217,T.D-14.04,Szczelina w Giewoncie I,5,49.252156,19.941594,76.8,0.0,0.001,0.42,,True,False,False
001218,T.D-14.05,Szczelina w Giewoncie II,5,49.252156,19.941594,77.11,0.062,0.002,0.39,,True,False,False
001219,T.D-14.06,Szczelina pod Głazem,5,49.250947,19.939258,77.34,0.0,0.004,0.38,,True,False,False
001220,T.D-14.07,Studnia w Giewoncie,5,49.251483,19.939069,76.98,-0.002,0.0,0.43,,True,False,False
001221,T.D-15.01,Kozi Korytarz,5,49.254244,19.962733,77.18,0.0,0.001,1.34,,True,False,False
001222,T.D-12.07,Jaskinia nad Zagonem,5,49.247394,19.91295,38.58,0.006,0.0,0.49,,True,False,False
001223,T.D-12.08,Szczelina w Iglicy,5,49.247306,19.912444,77.5,0.0,0.003,0.87,,True,False,False
001224,T.D-12.09,Jaskinia pod Iglicą,5,49.247797,19.911422,77.15,-0.006,0.002,0.5,,True,False,False
001225,T.D-16.01,Jaskinia Goryczkowa,5,49.25225,19.972556,118.07,0.007,0.0,0.98,,True,False,False
001226,T.D-16.02,Myślenicka Dziura,5,49.251089,19.973072,77.17,-0.006,0.001,0.32,,True,False,False
001227,T.D-16.03,Jaskinia Kasprowa Niżnia,5,49.253975,19.978567,11.81,0.012,0.001,0.75,,True,False,False
001228,T.D-16.04,Jaskinia Bystrej,5,49.255008,19.967094,11.82,0.021,0.001,0.86,,True,False,False
001229,T.D-12.10,Jaskinia nad Korytem,5,49.247858,19.910797,38.54,-0.008,0.002,0.82,,True,False,False
001230,T.D-12.11,Dziura nad Korytem,5,49.248172,19.910997,77.01,0.0,0.003,0.49,,True,False,False
001231,T.D-16.05,Jaskinia Dudnica,5,49.255125,19.967381,19.29,0.0,0.0,0.48,,True,False,False
